SURVEY: SDSS
PHOTOMETRY_VERSION: SDSS_allCandidates+BOSS
FILTERS: ugrizUGRIZ


SNID: 13689
IAUC: UNKNOWN
FAKE: 0
RA: 4.016017
DECL: 0.807471
PIXSIZE: 0.4
SNTYPE: 120
MWEBV: 0.0258
MWEBV_ERR: 0.0043
REDSHIFT_HELIO: 0.251768
REDSHIFT_HELIO_ERR: 1.2e-05
REDSHIFT_FINAL: 0.250289
REDSHIFT_FINAL_ERR: 1.2e-05
HOSTGAL_OBJID: 1237657191980728576
HOSTGAL_PHOTOZ: 0.1869
HOSTGAL_PHOTOZ_ERR: -9.0
HOSTGAL_SNSEP: 4.29
PEAKMJD: 54000.2
SEARCH_TYPE: 120


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS:  108
NVAR:  17
VARLIST: MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    ZEROPT    ZEROPT_ERR    RDNOISE    PHOTFLAG    MAG    MAGERR    PSF_SIG1    PSF_SIG2    PSF_RATIO    SKY_SIG    GAIN    TELESCOPE    
OBS: 54048.25    r    82N    48.98    28.486    28.238    0.004    4.252    1    23.215    0.544    1.14    2.744    0.05    8.41    4.725    SDSS    
OBS: 54048.25    i    82N    114.84    38.773    27.907    0.004    12.992    0    22.324    0.344    1.115    2.785    0.045    8.07    4.64    SDSS    
OBS: 54048.25    z    82N    136.46    110.609    26.61    0.02    4.698    0    21.931    0.57    0.981    2.484    0.068    6.82    3.48    SDSS    
OBS: 54048.25    u    82N    127.91    67.839    27.69    0.029    4.483    1153    22.22    0.54    1.118    2.283    0.121    10.58    1.47    SDSS    
OBS: 54052.2539062    g    82N    51.94    26.613    28.419    0.003    4.253    2    23.18    0.507    1.977    3.618    0.128    4.19    4.05    SDSS    
OBS: 54052.2539062    i    82N    125.95    75.711    27.891    0.004    12.992    34    22.228    0.597    2.189    3.991    0.478    8.02    4.64    SDSS    
OBS: 54052.2539062    z    82N    220.95    295.883    26.629    0.013    4.698    42    21.534    1.041    2.105    3.873    0.391    9.24    3.48    SDSS    
OBS: 54052.2539062    u    82N    90.7    156.198    27.511    0.132    4.483    32    22.581    1.382    1.803    3.775    0.128    4.51    1.47    SDSS    
OBS: 54054.2734375    g    82N    5.96    24.339    28.388    0.002    4.253    34    24.761    1.16    2.038    3.441    0.244    4.31    4.05    SDSS    
OBS: 54054.2734375    r    82N    88.26    36.182    28.199    0.003    4.252    34    22.616    0.419    2.067    3.545    0.411    5.81    4.725    SDSS    
OBS: 54054.2734375    i    82N    71.29    66.218    27.892    0.003    12.992    34    22.804    0.82    2.045    3.685    0.375    7.02    4.64    SDSS    
OBS: 54054.2734375    z    82N    -37.2    166.856    26.641    0.022    4.698    2    23.097    1.027    1.972    3.771    0.222    7.54    3.48    SDSS    
OBS: 54054.2734375    u    82N    106.03    83.948    27.408    0.016    4.483    170    22.418    0.766    2.171    3.629    0.244    4.9    1.47    SDSS    
OBS: 54055.25    g    82N    33.62    15.88    28.432    0.004    4.253    0    23.613    0.44    1.291    2.523    0.134    4.3    4.05    SDSS    
OBS: 54055.25    r    82N    40.87    24.019    28.228    0.004    4.252    0    23.388    0.529    1.374    3.344    0.036    5.39    4.725    SDSS    
